subj SOA congr errors trls_left pcdirerr trls_left_all generr pcgenerr hor vert pchor pcvert 
2 "-75" "congr" 1 15 0.0666666666666667 146.5 3 0.2 1 0 0.0666666666666667 0
2 "0" "congr" 0 18 0 146.5 2 0.111111111111111 0 0 0 0
2 "75" "congr" 0 16 0 146.5 3 0.1875 0 0 0 0
2 "-75" "inc" 4 18 0.222222222222222 146.5 6 0.333333333333333 4 0 0.222222222222222 0
2 "0" "inc" 0 15 0 146.5 1 0.0666666666666667 0 0 0 0
2 "75" "inc" 0 19 0 146.5 2 0.105263157894737 0 0 0 0
2 "-75" "inc-non-fin" 0 14.5 0 146.5 1 0.0689655172413793 0 0 0 0
2 "0" "inc-non-fin" 0.5 15.5 0.032258064516129 146.5 1 0.064516129032258 0.5 0 0.032258064516129 0
2 "75" "inc-non-fin" 0 15.5 0 146.5 0 0 0 0 0 0
3 "-75" "congr" 2 9 0.222222222222222 100.5 4 0.444444444444444 2 0 0.222222222222222 0
3 "0" "congr" 0 12 0 100.5 5 0.416666666666667 0 0 0 0
3 "75" "congr" 0 13 0 100.5 1 0.076923076923077 0 0 0 0
3 "-75" "inc" 3 10 0.3 100.5 5 0.5 3 0 0.3 0
3 "0" "inc" 1 11 0.090909090909091 100.5 7 0.636363636363636 1 0 0.090909090909091 0
3 "75" "inc" 0 9 0 100.5 1 0.111111111111111 0 0 0 0
3 "-75" "inc-non-fin" 2.5 11.5 0.217391304347826 100.5 5.5 0.478260869565217 2.5 0 0.217391304347826 0
3 "0" "inc-non-fin" 1 12 0.0833333333333333 100.5 3.5 0.291666666666667 1 0 0.0833333333333333 0
3 "75" "inc-non-fin" 1 13 0.076923076923077 100.5 5 0.384615384615385 1 0 0.076923076923077 0
6 "-75" "congr" 0 13 0 117 0 0 0 0 0 0
6 "0" "congr" 0 14 0 117 1 0.0714285714285714 0 0 0 0
6 "75" "congr" 0 15 0 117 0 0 0 0 0 0
6 "-75" "inc" 0 16 0 117 1 0.0625 0 0 0 0
6 "0" "inc" 1 13 0.076923076923077 117 1 0.076923076923077 1 0 0.076923076923077 0
6 "75" "inc" 0 9 0 117 1 0.111111111111111 0 0 0 0
6 "-75" "inc-non-fin" 0 13 0 117 0.5 0.0384615384615385 0 0 0 0
6 "0" "inc-non-fin" 0 13 0 117 0 0 0 0 0 0
6 "75" "inc-non-fin" 0 11 0 117 0 0 0 0 0 0
7 "-75" "congr" 1 17 0.0588235294117647 160 2 0.117647058823529 1 0 0.0588235294117647 0
7 "0" "congr" 0 19 0 160 2 0.105263157894737 0 0 0 0
7 "75" "congr" 2 16 0.125 160 3 0.1875 2 0 0.125 0
7 "-75" "inc" 9 20 0.45 160 11 0.55 9 0 0.45 0
7 "0" "inc" 3 19 0.157894736842105 160 4 0.210526315789474 3 0 0.157894736842105 0
7 "75" "inc" 1 14 0.0714285714285714 160 3 0.214285714285714 1 0 0.0714285714285714 0
7 "-75" "inc-non-fin" 3 19 0.157894736842105 160 4.5 0.236842105263158 3 0 0.157894736842105 0
7 "0" "inc-non-fin" 2.5 17.5 0.142857142857143 160 2.5 0.142857142857143 2.5 0 0.142857142857143 0
7 "75" "inc-non-fin" 1.5 18.5 0.0810810810810811 160 2 0.108108108108108 1.5 0 0.0810810810810811 0
9 "-75" "congr" 0 15 0 141.5 0 0 0 0 0 0
9 "0" "congr" 2 16 0.125 141.5 5 0.3125 2 0 0.125 0
9 "75" "congr" 0 15 0 141.5 0 0 0 0 0 0
9 "-75" "inc" 2 17 0.117647058823529 141.5 2 0.117647058823529 2 0 0.117647058823529 0
9 "0" "inc" 3 17 0.176470588235294 141.5 4 0.235294117647059 3 0 0.176470588235294 0
9 "75" "inc" 1 14 0.0714285714285714 141.5 3 0.214285714285714 1 0 0.0714285714285714 0
9 "-75" "inc-non-fin" 1 16.5 0.0606060606060606 141.5 3 0.181818181818182 1 0 0.0606060606060606 0
9 "0" "inc-non-fin" 0 15 0 141.5 0.5 0.0333333333333333 0 0 0 0
9 "75" "inc-non-fin" 0 16 0 141.5 2 0.125 0 0 0 0
13 "-75" "congr" 0 20 0 159.5 1 0.05 0 0 0 0
13 "0" "congr" 0 17 0 159.5 0 0 0 0 0 0
13 "75" "congr" 0 18 0 159.5 1 0.0555555555555556 0 0 0 0
13 "-75" "inc" 2 18 0.111111111111111 159.5 4 0.222222222222222 2 0 0.111111111111111 0
13 "0" "inc" 1 16 0.0625 159.5 4 0.25 1 0 0.0625 0
13 "75" "inc" 0 18 0 159.5 0 0 0 0 0 0
13 "-75" "inc-non-fin" 0 17 0 159.5 0.5 0.0294117647058824 0 0 0 0
13 "0" "inc-non-fin" 0 18 0 159.5 1 0.0555555555555556 0 0 0 0
13 "75" "inc-non-fin" 0.5 17.5 0.0285714285714286 159.5 0.5 0.0285714285714286 0.5 0 0.0285714285714286 0
55 "-75" "congr" 0 9 0 101 1 0.111111111111111 0 0 0 0
55 "0" "congr" 0 14 0 101 2 0.142857142857143 0 0 0 0
55 "75" "congr" 0 10 0 101 1 0.1 0 0 0 0
55 "-75" "inc" 4 7 0.571428571428571 101 5 0.714285714285714 4 0 0.571428571428571 0
55 "0" "inc" 5 17 0.294117647058824 101 6 0.352941176470588 5 0 0.294117647058824 0
55 "75" "inc" 0 16 0 101 1 0.0625 0 0 0 0
55 "-75" "inc-non-fin" 0 12 0 101 3 0.25 0 0 0 0
55 "0" "inc-non-fin" 0 7 0 101 0.5 0.0714285714285714 0 0 0 0
55 "75" "inc-non-fin" 0.5 9 0.0555555555555556 101 1.5 0.166666666666667 0.5 0 0.0555555555555556 0
56 "-75" "congr" 0 15 0 122.5 1 0.0666666666666667 0 0 0 0
56 "0" "congr" 0 11 0 122.5 1 0.090909090909091 0 0 0 0
56 "75" "congr" 0 15 0 122.5 3 0.2 0 0 0 0
56 "-75" "inc" 1 14 0.0714285714285714 122.5 7 0.5 1 0 0.0714285714285714 0
56 "0" "inc" 0 13 0 122.5 1 0.076923076923077 0 0 0 0
56 "75" "inc" 1 12 0.0833333333333333 122.5 4 0.333333333333333 1 0 0.0833333333333333 0
56 "-75" "inc-non-fin" 0 13 0 122.5 4 0.307692307692308 0 0 0 0
56 "0" "inc-non-fin" 0 13.5 0 122.5 1 0.074074074074074 0 0 0 0
56 "75" "inc-non-fin" 0 16 0 122.5 0.5 0.03125 0 0 0 0
57 "-75" "congr" 0 14 0 120 5 0.357142857142857 0 0 0 0
57 "0" "congr" 0 13 0 120 4 0.307692307692308 0 0 0 0
57 "75" "congr" 0 12 0 120 3 0.25 0 0 0 0
57 "-75" "inc" 2 9 0.222222222222222 120 6 0.666666666666667 2 0 0.222222222222222 0
57 "0" "inc" 2 15 0.133333333333333 120 5 0.333333333333333 2 0 0.133333333333333 0
57 "75" "inc" 1 14 0.0714285714285714 120 9 0.642857142857143 1 0 0.0714285714285714 0
57 "-75" "inc-non-fin" 0 13 0 120 4.5 0.346153846153846 0 0 0 0
57 "0" "inc-non-fin" 0.5 15.5 0.032258064516129 120 5.5 0.354838709677419 0.5 0 0.032258064516129 0
57 "75" "inc-non-fin" 1 14.5 0.0689655172413793 120 2.5 0.172413793103448 1 0 0.0689655172413793 0
58 "-75" "congr" 0 15 0 140 0 0 0 0 0 0
58 "0" "congr" 0 16 0 140 2 0.125 0 0 0 0
58 "75" "congr" 0 17 0 140 2 0.117647058823529 0 0 0 0
58 "-75" "inc" 2 17 0.117647058823529 140 2 0.117647058823529 2 0 0.117647058823529 0
58 "0" "inc" 1 13 0.076923076923077 140 3 0.230769230769231 1 0 0.076923076923077 0
58 "75" "inc" 0 15 0 140 2 0.133333333333333 0 0 0 0
58 "-75" "inc-non-fin" 0.5 16 0.03125 140 2.5 0.15625 0.5 0 0.03125 0
58 "0" "inc-non-fin" 0.5 15.5 0.032258064516129 140 1.5 0.096774193548387 0.5 0 0.032258064516129 0
58 "75" "inc-non-fin" 0.5 15.5 0.032258064516129 140 1.5 0.096774193548387 0.5 0 0.032258064516129 0
77 "-75" "congr" 0 18 0 133.5 1 0.0555555555555556 0 0 0 0
77 "0" "congr" 2 13 0.153846153846154 133.5 3 0.230769230769231 2 0 0.153846153846154 0
77 "75" "congr" 0 16 0 133.5 3 0.1875 0 0 0 0
77 "-75" "inc" 0 14 0 133.5 3 0.214285714285714 0 0 0 0
77 "0" "inc" 2 14 0.142857142857143 133.5 10 0.714285714285714 2 0 0.142857142857143 0
77 "75" "inc" 2 16 0.125 133.5 4 0.25 2 0 0.125 0
77 "-75" "inc-non-fin" 0.5 15 0.0333333333333333 133.5 2 0.133333333333333 0.5 0 0.0333333333333333 0
77 "0" "inc-non-fin" 1 11.5 0.0869565217391304 133.5 3.5 0.304347826086957 1 0 0.0869565217391304 0
77 "75" "inc-non-fin" 1 16 0.0625 133.5 6.5 0.40625 1 0 0.0625 0
59 "-75" "congr" 0 17 0 157.5 2 0.117647058823529 0 0 0 0
59 "0" "congr" 0 17 0 157.5 0 0 0 0 0 0
59 "75" "congr" 0 14 0 157.5 4 0.285714285714286 0 0 0 0
59 "-75" "inc" 5 19 0.263157894736842 157.5 5 0.263157894736842 5 0 0.263157894736842 0
59 "0" "inc" 0 19 0 157.5 2 0.105263157894737 0 0 0 0
59 "75" "inc" 0 18 0 157.5 3 0.166666666666667 0 0 0 0
59 "-75" "inc-non-fin" 0 19 0 157.5 1 0.0526315789473684 0 0 0 0
59 "0" "inc-non-fin" 0 17.5 0 157.5 0.5 0.0285714285714286 0 0 0 0
59 "75" "inc-non-fin" 0 17 0 157.5 0 0 0 0 0 0
60 "-75" "congr" 2 18 0.111111111111111 162 2 0.111111111111111 2 0 0.111111111111111 0
60 "0" "congr" 1 18 0.0555555555555556 162 2 0.111111111111111 1 0 0.0555555555555556 0
60 "75" "congr" 0 18 0 162 1 0.0555555555555556 0 0 0 0
60 "-75" "inc" 1 18 0.0555555555555556 162 2 0.111111111111111 1 0 0.0555555555555556 0
60 "0" "inc" 0 18 0 162 2 0.111111111111111 0 0 0 0
60 "75" "inc" 0 19 0 162 1 0.0526315789473684 0 0 0 0
60 "-75" "inc-non-fin" 0.5 18 0.0277777777777778 162 1 0.0555555555555556 0.5 0 0.0277777777777778 0
60 "0" "inc-non-fin" 0 16.5 0 162 1.5 0.090909090909091 0 0 0 0
60 "75" "inc-non-fin" 0 18.5 0 162 0.5 0.0270270270270270 0 0 0 0
61 "-75" "congr" 0 14 0 113 4 0.285714285714286 0 0 0 0
61 "0" "congr" 1 13 0.076923076923077 113 6 0.461538461538462 1 0 0.076923076923077 0
61 "75" "congr" 0 11 0 113 5 0.454545454545455 0 0 0 0
61 "-75" "inc" 4 13 0.307692307692308 113 4 0.307692307692308 4 0 0.307692307692308 0
61 "0" "inc" 3 13 0.230769230769231 113 5 0.384615384615385 3 0 0.230769230769231 0
61 "75" "inc" 1 12 0.0833333333333333 113 3 0.25 1 0 0.0833333333333333 0
61 "-75" "inc-non-fin" 2 11 0.181818181818182 113 5 0.454545454545455 2 0 0.181818181818182 0
61 "0" "inc-non-fin" 1 13.5 0.074074074074074 113 5 0.37037037037037 1 0 0.074074074074074 0
61 "75" "inc-non-fin" 0 12.5 0 113 3 0.24 0 0 0 0
