"hair" "eyes"
"Red" "Hazel"
"Red" "Green"
"Blond" "Blue"
"Red" "Hazel"
"Red" "Hazel"
"Blond" "Green"
"Blond" "Hazel"
"Red" "Green"
"Brown" "Brown"
"Blond" "Blue"
"Blond" "Blue"
"Brown" "Brown"
"Black" "Brown"
"Blond" "Blue"
"Red" "Brown"
"Brown" "Brown"
"Brown" "Brown"
"Black" "Brown"
"Brown" "Brown"
"Blond" "Blue"
"Blond" "Blue"
"Brown" "Brown"
"Brown" "Brown"
"Brown" "Brown"
"Brown" "Brown"
"Brown" "Blue"
"Black" "Brown"
"Black" "Brown"
"Brown" "Brown"
"Brown" "Green"
"Red" "Brown"
"Brown" "Hazel"
"Brown" "Brown"
"Blond" "Blue"
"Brown" "Hazel"
"Blond" "Blue"
"Brown" "Hazel"
"Black" "Brown"
"Black" "Brown"
"Brown" "Brown"
"Brown" "Hazel"
"Brown" "Brown"
"Brown" "Hazel"
"Blond" "Brown"
"Brown" "Blue"
"Blond" "Blue"
"Black" "Brown"
"Brown" "Brown"
"Brown" "Hazel"
"Brown" "Brown"
"Brown" "Blue"
"Red" "Brown"
"Brown" "Brown"
"Brown" "Hazel"
"Black" "Blue"
"Red" "Brown"
"Blond" "Blue"
"Blond" "Blue"
"Black" "Brown"
"Brown" "Brown"
"Brown" "Green"
"Blond" "Blue"
"Brown" "Hazel"
"Brown" "Brown"
"Brown" "Brown"
"Blond" "Blue"
"Blond" "Blue"
"Red" "Hazel"
"Black" "Blue"
"Blond" "Blue"
"Brown" "Hazel"
"Black" "Blue"
"Brown" "Hazel"
"Black" "Blue"
"Black" "Blue"
"Blond" "Blue"
"Blond" "Blue"
"Blond" "Hazel"
"Blond" "Blue"
"Blond" "Green"
"Black" "Hazel"
"Brown" "Brown"
"Brown" "Brown"
"Red" "Brown"
"Red" "Brown"
"Brown" "Brown"
"Black" "Brown"
"Blond" "Blue"
"Blond" "Blue"
"Black" "Brown"
"Brown" "Hazel"
"Brown" "Blue"
"Blond" "Blue"
"Brown" "Hazel"
"Black" "Brown"
"Blond" "Brown"
"Black" "Brown"
"Brown" "Hazel"
"Black" "Brown"
"Brown" "Blue"
"Blond" "Blue"
"Brown" "Blue"
"Black" "Brown"
"Brown" "Hazel"
"Brown" "Green"
"Brown" "Brown"
"Red" "Green"
"Blond" "Blue"
"Blond" "Blue"
"Brown" "Brown"
"Brown" "Hazel"
"Red" "Brown"
"Blond" "Blue"
"Brown" "Blue"
"Blond" "Blue"
"Brown" "Hazel"
"Black" "Brown"
"Blond" "Green"
"Brown" "Hazel"
"Brown" "Hazel"
"Brown" "Brown"
"Brown" "Brown"
"Blond" "Blue"
"Black" "Blue"
"Blond" "Green"
"Brown" "Brown"
"Blond" "Blue"
"Brown" "Brown"
"Brown" "Green"
"Brown" "Green"
"Brown" "Hazel"
"Blond" "Blue"
"Brown" "Green"
"Black" "Brown"
"Brown" "Blue"
"Brown" "Hazel"
"Brown" "Brown"
"Brown" "Green"
"Blond" "Blue"
"Red" "Hazel"
"Blond" "Blue"
"Brown" "Blue"
"Brown" "Hazel"
"Blond" "Green"
"Blond" "Blue"
"Brown" "Brown"
"Brown" "Brown"
"Black" "Blue"
"Brown" "Blue"
"Blond" "Blue"
"Blond" "Blue"
"Brown" "Brown"
"Black" "Brown"
"Brown" "Brown"
"Blond" "Blue"
"Brown" "Brown"
"Brown" "Brown"
"Black" "Brown"
"Blond" "Blue"
"Brown" "Brown"
"Red" "Blue"
"Blond" "Blue"
"Blond" "Blue"
"Red" "Brown"
"Blond" "Blue"
"Blond" "Brown"
"Brown" "Brown"
"Brown" "Blue"
"Black" "Brown"
"Brown" "Green"
"Brown" "Hazel"
"Brown" "Blue"
"Brown" "Hazel"
"Brown" "Hazel"
"Blond" "Blue"
"Brown" "Brown"
"Brown" "Brown"
"Blond" "Blue"
