"id","prop","time","cond"
"1",0.111111111111111,"-75","A"
"1",0.0769230769230769,"0","A"
"1",0,"75","A"
"1",0.0769230769230769,"-75","B"
"1",0.181818181818182,"0","B"
"1",0.1,"75","B"
"1",0,"-75","C"
"1",0,"0","C"
"1",0.0833333333333333,"75","C"
"2",0.157894736842105,"-75","A"
"2",0.0526315789473684,"0","A"
"2",0.117647058823529,"75","A"
"2",0.625,"-75","B"
"2",0.444444444444444,"0","B"
"2",0.25,"75","B"
"2",0.323529411764706,"-75","C"
"2",0.21875,"0","C"
"2",0.117647058823529,"75","C"
"3",0,"-75","A"
"3",0,"0","A"
"3",0.0769230769230769,"75","A"
"3",0.2,"-75","B"
"3",0.0833333333333333,"0","B"
"3",0,"75","B"
"3",0.0333333333333333,"-75","C"
"3",0.0434782608695652,"0","C"
"3",0,"75","C"
"4",0,"-75","A"
"4",0.214285714285714,"0","A"
"4",0,"75","A"
"4",0.538461538461538,"-75","B"
"4",0.25,"0","B"
"4",0.333333333333333,"75","B"
"4",0.12,"-75","C"
"4",0.24,"0","C"
"4",0.105263157894737,"75","C"
"5",0,"-75","A"
"5",0,"0","A"
"5",0,"75","A"
"5",0.636363636363636,"-75","B"
"5",0.357142857142857,"0","B"
"5",0.285714285714286,"75","B"
"5",0.185185185185185,"-75","C"
"5",0.0769230769230769,"0","C"
"5",0.115384615384615,"75","C"
"6",0,"-75","A"
"6",0,"0","A"
"6",0,"75","A"
"6",0.785714285714286,"-75","B"
"6",0.461538461538462,"0","B"
"6",0.0909090909090909,"75","B"
"6",0.217391304347826,"-75","C"
"6",0,"0","C"
"6",0,"75","C"
"7",0.176470588235294,"-75","A"
"7",0,"0","A"
"7",0,"75","A"
"7",0.181818181818182,"-75","B"
"7",0.230769230769231,"0","B"
"7",0.142857142857143,"75","B"
"7",0.0740740740740741,"-75","C"
"7",0.222222222222222,"0","C"
"7",0.0769230769230769,"75","C"
"8",0.2,"-75","A"
"8",0,"0","A"
"8",0,"75","A"
"8",0.230769230769231,"-75","B"
"8",0.166666666666667,"0","B"
"8",0.0833333333333333,"75","B"
"8",0.107142857142857,"-75","C"
"8",0.296296296296296,"0","C"
"8",0.0869565217391304,"75","C"
"12",0,"-75","A"
"12",0,"0","A"
"12",0,"75","A"
"12",0.142857142857143,"-75","B"
"12",0.2,"0","B"
"12",0,"75","B"
"12",0.0689655172413793,"-75","C"
"12",0.03125,"0","C"
"12",0.027027027027027,"75","C"
"13",0,"-75","A"
"13",0,"0","A"
"13",0,"75","A"
"13",0.111111111111111,"-75","B"
"13",0.125,"0","B"
"13",0.133333333333333,"75","B"
"13",0.0625,"-75","C"
"13",0.0789473684210526,"0","C"
"13",0,"75","C"
"14",0.111111111111111,"-75","A"
"14",0.0625,"0","A"
"14",0.0555555555555556,"75","A"
"14",0.666666666666667,"-75","B"
"14",0.65,"0","B"
"14",0.4,"75","B"
"14",0.289473684210526,"-75","C"
"14",0.228571428571429,"0","C"
"14",0.181818181818182,"75","C"
"15",0.105263157894737,"-75","A"
"15",0,"0","A"
"15",0,"75","A"
"15",0.5,"-75","B"
"15",0.1875,"0","B"
"15",0.125,"75","B"
"15",0.117647058823529,"-75","C"
"15",0.05,"0","C"
"15",0,"75","C"
"16",0,"-75","A"
"16",0,"0","A"
"16",0,"75","A"
"16",0.157894736842105,"-75","B"
"16",0.2,"0","B"
"16",0.0625,"75","B"
"16",0,"-75","C"
"16",0,"0","C"
"16",0,"75","C"
"18",0,"-75","A"
"18",0.0526315789473684,"0","A"
"18",0,"75","A"
"18",0.466666666666667,"-75","B"
"18",0.529411764705882,"0","B"
"18",0.1875,"75","B"
"18",0.142857142857143,"-75","C"
"18",0,"0","C"
"18",0.0625,"75","C"
